freq,indic_is,unit,geo,year,value_raw,value,indic_is_label,unit_label,geo_label,nuts1_name,country_code,nuts_level
A,I_DSK2_AB,PC_IND,FRB,2025,34.36 u,34.36,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Centre — Val de Loire,Centre — Val de Loire,FR,1
A,I_DSK2_AB,PC_IND,FRC,2025,25.49 u,25.49,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,FR,1
A,I_DSK2_AB,PC_IND,FRD,2025,33.16 u,33.16,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Normandie,Normandie,FR,1
A,I_DSK2_AB,PC_IND,FRE,2025,30.81 u,30.81,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Hauts-de-France,Hauts-de-France,FR,1
A,I_DSK2_AB,PC_IND,FRF,2025,30.93 u,30.93,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Grand Est,Grand Est,FR,1
A,I_DSK2_AB,PC_IND,FRG,2025,37.46 u,37.46,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Pays de la Loire,Pays de la Loire,FR,1
A,I_DSK2_AB,PC_IND,FRH,2025,35.45 u,35.45,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Bretagne,Bretagne,FR,1
A,I_DSK2_AB,PC_IND,FRI,2025,33.32 u,33.32,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR,1
A,I_DSK2_AB,PC_IND,FRJ,2025,34.53 u,34.53,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Occitanie,Occitanie,FR,1
A,I_DSK2_AB,PC_IND,FRK,2025,37.73 u,37.73,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,1
A,I_DSK2_AB,PC_IND,FRL,2025,33.99 u,33.99,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Provence-Alpes-Côte d’Azur,Provence-Alpes-Côte d’Azur,FR,1
A,I_DSK2_AB,PC_IND,FRM,2025,38.57 u,38.57,Individuals with above basic overall digital skills (all five component indicators are at above basic level),Percentage of individuals,Corse,Corse,FR,1
