freq,indic_is,unit,geo,year,value_raw,value
A,I_DSK2_AB,PC_IND,PL9,2025,33.17 ,33.17
A,I_DSK2_AB,PC_IND,PT,2025,31.97 ,31.97
A,I_DSK2_AB,PC_IND,PT1,2025,32.48 ,32.48
A,I_DSK2_AB,PC_IND,PT2,2025,21.86 ,21.86
A,I_DSK2_AB,PC_IND,PT3,2025,22.49 ,22.49
A,I_DSK2_AB,PC_IND,RO,2025,11.13 ,11.13
A,I_DSK2_AB,PC_IND,RO1,2025,11.93 ,11.93
A,I_DSK2_AB,PC_IND,RO2,2025,9.10 ,9.1
A,I_DSK2_AB,PC_IND,RO3,2025,14.55 ,14.55
A,I_DSK2_AB,PC_IND,RO4,2025,8.19 ,8.19
A,I_DSK2_AB,PC_IND,RS,2025,12.84 ,12.84
A,I_DSK2_AB,PC_IND,RS1,2025,16.13 ,16.13
A,I_DSK2_AB,PC_IND,RS2,2025,9.34 ,9.34
A,I_DSK2_AB,PC_IND,SE,2025,38.10 ,38.1
A,I_DSK2_AB,PC_IND,SE1,2025,39.55 ,39.55
A,I_DSK2_AB,PC_IND,SE2,2025,37.47 ,37.47
A,I_DSK2_AB,PC_IND,SE3,2025,36.17 ,36.17
A,I_DSK2_AB,PC_IND,SI,2025,19.80 ,19.8
A,I_DSK2_AB,PC_IND,SK,2025,21.16 ,21.16
A,I_DSK2_AB,PC_IND,TR,2025,9.91 ,9.91
A,I_DSK2_AB,PC_IND,TR1,2025,14.83 ,14.83
A,I_DSK2_AB,PC_IND,TR2,2025,8.40 ,8.4
A,I_DSK2_AB,PC_IND,TR3,2025,9.13 ,9.13
A,I_DSK2_AB,PC_IND,TR4,2025,14.70 ,14.7
A,I_DSK2_AB,PC_IND,TR5,2025,13.09 ,13.09
A,I_DSK2_AB,PC_IND,TR6,2025,7.77 ,7.77
A,I_DSK2_AB,PC_IND,TR7,2025,6.54 ,6.54
A,I_DSK2_AB,PC_IND,TR8,2025,7.67 ,7.67
A,I_DSK2_AB,PC_IND,TR9,2025,6.68 ,6.68
A,I_DSK2_AB,PC_IND,TRA,2025,5.16 ,5.16
A,I_DSK2_AB,PC_IND,TRB,2025,4.75 ,4.75
A,I_DSK2_AB,PC_IND,TRC,2025,3.70 ,3.7
A,I_DSK2_AB,PC_IND,XK,2025,9.14 ,9.14
A,I_DSK2_AB,PC_IND_IU3,AL,2025,9.26 ,9.26
A,I_DSK2_AB,PC_IND_IU3,AT,2025,35.94 ,35.94
A,I_DSK2_AB,PC_IND_IU3,AT1,2025,38.06 ,38.06
A,I_DSK2_AB,PC_IND_IU3,AT2,2025,33.23 ,33.23
A,I_DSK2_AB,PC_IND_IU3,AT3,2025,34.76 ,34.76
A,I_DSK2_AB,PC_IND_IU3,BA,2025,10.82 ,10.82
A,I_DSK2_AB,PC_IND_IU3,BE,2025,30.78 ,30.78
A,I_DSK2_AB,PC_IND_IU3,BE1,2025,37.89 ,37.89
A,I_DSK2_AB,PC_IND_IU3,BE2,2025,30.51 ,30.51
A,I_DSK2_AB,PC_IND_IU3,BE3,2025,28.91 ,28.91
A,I_DSK2_AB,PC_IND_IU3,BG,2025,13.55 ,13.55
A,I_DSK2_AB,PC_IND_IU3,BG3,2025,12.71 ,12.71
A,I_DSK2_AB,PC_IND_IU3,BG4,2025,14.31 ,14.31
A,I_DSK2_AB,PC_IND_IU3,CH,2025,45.96 ,45.96
